country,gender,dau,mau,age_group,group_id
Antigua_and_Barbuda,male,713,1000,13-20,Tablet_computers
Antigua_and_Barbuda,male,1845,2400,21-30,Tablet_computers
Antigua_and_Barbuda,male,1515,1800,31-40,Tablet_computers
Antigua_and_Barbuda,male,915,1100,41-50,Tablet_computers
Antigua_and_Barbuda,male,599,1000,51-60,Tablet_computers
Antigua_and_Barbuda,male,664,1000,61-65+,Tablet_computers
Antigua_and_Barbuda,female,928,1000,13-20,Tablet_computers
Antigua_and_Barbuda,female,2449,2800,21-30,Tablet_computers
Antigua_and_Barbuda,female,2375,2700,31-40,Tablet_computers
Antigua_and_Barbuda,female,1568,1700,41-50,Tablet_computers
Antigua_and_Barbuda,female,874,1000,51-60,Tablet_computers
Antigua_and_Barbuda,female,997,1000,61-65+,Tablet_computers
Argentina,male,244180,290000,13-20,Tablet_computers
Argentina,male,897067,1000000,21-30,Tablet_computers
Argentina,male,684025,770000,31-40,Tablet_computers
Argentina,male,420636,480000,41-50,Tablet_computers
Argentina,male,196848,230000,51-60,Tablet_computers
Argentina,male,124562,150000,61-65+,Tablet_computers
Argentina,female,281108,320000,13-20,Tablet_computers
Argentina,female,903801,990000,21-30,Tablet_computers
Argentina,female,746060,820000,31-40,Tablet_computers
Argentina,female,536080,590000,41-50,Tablet_computers
Argentina,female,306453,340000,51-60,Tablet_computers
Argentina,female,267033,300000,61-65+,Tablet_computers
Barbados,male,1688,1900,13-20,Tablet_computers
Barbados,male,5690,6200,21-30,Tablet_computers
Barbados,male,3699,4100,31-40,Tablet_computers
Barbados,male,2169,2800,41-50,Tablet_computers
Barbados,male,1609,1800,51-60,Tablet_computers
Barbados,male,1099,1100,61-65+,Tablet_computers
Barbados,female,2249,2400,13-20,Tablet_computers
Barbados,female,7309,7400,21-30,Tablet_computers
Barbados,female,5256,5900,31-40,Tablet_computers
Barbados,female,3875,4400,41-50,Tablet_computers
Barbados,female,2130,2700,51-60,Tablet_computers
Barbados,female,1476,1600,61-65+,Tablet_computers
Bolivia,male,145519,180000,13-20,Tablet_computers
Bolivia,male,293303,350000,21-30,Tablet_computers
Bolivia,male,151716,180000,31-40,Tablet_computers
Bolivia,male,57800,72000,41-50,Tablet_computers
Bolivia,male,23040,28000,51-60,Tablet_computers
Bolivia,male,14182,17000,61-65+,Tablet_computers
